archivo,titulo,album,año,caracteres_originales,tokens_originales,tokens_unicos_originales,tokens_stemmed,tokens_unicos_stemmed,tokens_lemmatized,tokens_unicos_lemmatized,reduccion_stemming,reduccion_lemmatization
01_un_misil_en_mi_placard.txt,Un misil en mi placard,N/A,1984,553,119,40,119,40,119,39,0.0,2.5
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,N/A,1984,683,128,33,128,33,128,32,0.0,3.0303030303030303
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,N/A,1984,776,146,68,146,67,146,66,1.4705882352941175,2.941176470588235
04_trátame_suavemente.txt,Trátame suavemente,N/A,1984,695,126,63,126,63,126,59,0.0,6.349206349206349
05_disco_eterno.txt,Disco Eterno,N/A,1984,519,99,22,99,22,99,22,0.0,0.0
06_ni_un_segundo.txt,Ni un segundo,N/A,1984,521,102,21,102,21,102,20,0.0,4.761904761904762
07_afrodisíacos.txt,Afrodisíacos,N/A,1984,532,85,33,85,32,85,32,3.0303030303030303,3.0303030303030303
08_dietetico.txt,Dietético,N/A,1984,503,92,29,92,29,92,28,0.0,3.4482758620689653
09_el_tiempo_es_dinero.txt,El tiempo es dinero,N/A,1984,512,99,32,99,32,99,32,0.0,0.0
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,N/A,1984,718,158,55,158,55,158,54,0.0,1.8181818181818181
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,N/A,1985,641,113,47,113,47,113,46,0.0,2.127659574468085
12_nada_personal.txt,Nada personal,N/A,1985,477,81,22,81,22,81,22,0.0,0.0
13_juegos_de_seduccion.txt,Juegos de seducción,N/A,1985,623,116,57,116,55,116,54,3.508771929824561,5.263157894736842
14_imágenes_retro.txt,Imágenes retro,N/A,1985,628,115,47,115,46,115,46,2.127659574468085,2.127659574468085
15_danza_rota.txt,Danza rota,N/A,1985,526,107,31,107,31,107,31,0.0,0.0
16_estoy_azulado.txt,Estoy azulado,N/A,1985,449,77,37,77,37,77,37,0.0,0.0
17_observándonos.txt,Observándonos,N/A,1985,594,95,46,95,45,95,46,2.1739130434782608,0.0
18_ecos.txt,Ecos,N/A,1985,504,100,48,100,48,100,45,0.0,6.25
19_si_no_fuera_por.txt,Si no fuera por,N/A,1985,649,136,45,136,44,136,43,2.2222222222222223,4.444444444444445
20_sin_sobresaltos.txt,Sin sobresaltos,N/A,1986,630,101,39,101,39,101,38,0.0,2.564102564102564
21_en_camino.txt,En camino,N/A,1986,595,117,46,117,46,117,46,0.0,0.0
22_final_caja_negra.txt,Final caja negra,N/A,1986,527,92,45,92,43,92,42,4.444444444444445,6.666666666666667
23_profugos.txt,Prófugos,N/A,1986,561,94,53,94,52,94,49,1.8867924528301887,7.547169811320755
24_persiana_americana.txt,Persiana americana,N/A,1986,569,94,52,94,50,94,51,3.8461538461538463,1.9230769230769231
25_signos.txt,Signos,N/A,1986,506,97,48,97,47,97,45,2.083333333333333,6.25
26_el_rito.txt,El rito,N/A,1986,575,113,47,113,45,113,47,4.25531914893617,0.0
27_no_existes.txt,No existes,N/A,1986,545,97,45,97,42,97,42,6.666666666666667,6.666666666666667
28_día_común.txt,Día común,N/A,1988,556,104,52,104,51,104,52,1.9230769230769231,0.0
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,N/A,1988,598,127,26,127,26,127,25,0.0,3.8461538461538463
30_lo_que_sangra.txt,Lo que sangra,N/A,1988,601,113,53,113,53,113,53,0.0,0.0
31_corazon_delator.txt,Corazón delator,N/A,1988,550,96,49,96,48,96,47,2.0408163265306123,4.081632653061225
32_sobredosis_de_tv.txt,Sobredosis de TV,N/A,1988,560,98,43,98,42,98,42,2.3255813953488373,2.3255813953488373
33_en_el_borde.txt,En el borde,N/A,1988,582,112,46,112,46,112,46,0.0,0.0
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,N/A,1988,579,99,50,99,49,99,48,2.0,4.0
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,N/A,1988,566,121,41,121,41,121,41,0.0,0.0
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,N/A,1988,727,122,53,122,51,122,51,3.7735849056603774,3.7735849056603774
37_los_languidecientes.txt,Los languidecientes,N/A,1988,596,81,46,81,46,81,45,0.0,2.1739130434782608
