tipo,termino,en_ambas_listas
Frecuentes,dia,True
Frecuentes,amor,True
Frecuentes,corazon,True
Frecuentes,tiempo,True
Frecuentes,puedo,True
Frecuentes,hablar,True
Frecuentes,ritmo,False
Frecuentes,camino,True
Frecuentes,todas,True
Frecuentes,alguien,True
Frecuentes,calles,True
Frecuentes,personal,True
Frecuentes,casa,True
Frecuentes,noches,True
Frecuentes,ojos,False
Frecuentes,gusta,True
Frecuentes,estan,False
Frecuentes,disco,False
Frecuentes,hacer,True
Frecuentes,lado,True
Distintivos,corazon,True
Distintivos,amor,True
Distintivos,puedo,True
Distintivos,dia,True
Distintivos,tiempo,True
Distintivos,alma,False
Distintivos,lado,True
Distintivos,alguien,True
Distintivos,hablar,True
Distintivos,calles,True
Distintivos,todas,True
Distintivos,ser,False
Distintivos,casa,True
Distintivos,noches,True
Distintivos,puede,False
Distintivos,gusta,True
Distintivos,hacer,True
Distintivos,personal,True
Distintivos,camino,True
Distintivos,sabes,False
