archivo,titulo,album,año
01_un_misil_en_mi_placard.txt,Un misil en mi placard,N/A,1984
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,N/A,1984
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,N/A,1984
04_trátame_suavemente.txt,Trátame suavemente,N/A,1984
05_disco_eterno.txt,Disco Eterno,N/A,1984
06_ni_un_segundo.txt,Ni un segundo,N/A,1984
07_afrodisíacos.txt,Afrodisíacos,N/A,1984
08_dietetico.txt,Dietético,N/A,1984
09_el_tiempo_es_dinero.txt,El tiempo es dinero,N/A,1984
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,N/A,1984
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,N/A,1985
12_nada_personal.txt,Nada personal,N/A,1985
13_juegos_de_seduccion.txt,Juegos de seducción,N/A,1985
14_imágenes_retro.txt,Imágenes retro,N/A,1985
15_danza_rota.txt,Danza rota,N/A,1985
16_estoy_azulado.txt,Estoy azulado,N/A,1985
17_observándonos.txt,Observándonos,N/A,1985
18_ecos.txt,Ecos,N/A,1985
19_si_no_fuera_por.txt,Si no fuera por,N/A,1985
20_sin_sobresaltos.txt,Sin sobresaltos,N/A,1986
21_en_camino.txt,En camino,N/A,1986
22_final_caja_negra.txt,Final caja negra,N/A,1986
23_profugos.txt,Prófugos,N/A,1986
24_persiana_americana.txt,Persiana americana,N/A,1986
25_signos.txt,Signos,N/A,1986
26_el_rito.txt,El rito,N/A,1986
27_no_existes.txt,No existes,N/A,1986
28_día_común.txt,Día común,N/A,1988
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,N/A,1988
30_lo_que_sangra.txt,Lo que sangra,N/A,1988
31_corazon_delator.txt,Corazón delator,N/A,1988
32_sobredosis_de_tv.txt,Sobredosis de TV,N/A,1988
33_en_el_borde.txt,En el borde,N/A,1988
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,N/A,1988
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,N/A,1988
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,N/A,1988
37_los_languidecientes.txt,Los languidecientes,N/A,1988
